account_key,account_code,account_name,account_type,base_currency_key
1,ACC0001,Account 0001,Pension,1
2,ACC0002,Account 0002,Retail Wrap,3
3,ACC0003,Account 0003,Pension,3
4,ACC0004,Account 0004,Pension,1
5,ACC0005,Account 0005,Insurance,1
6,ACC0006,Account 0006,Segregated Mandate,2
7,ACC0007,Account 0007,Insurance,3
8,ACC0008,Account 0008,Pension,1
9,ACC0009,Account 0009,Retail Wrap,2
10,ACC0010,Account 0010,Pension,3
11,ACC0011,Account 0011,Pension,3
12,ACC0012,Account 0012,Insurance,2
13,ACC0013,Account 0013,Fund,1
14,ACC0014,Account 0014,Retail Wrap,2
15,ACC0015,Account 0015,Fund,3
16,ACC0016,Account 0016,Prop,3
17,ACC0017,Account 0017,Retail Wrap,3
18,ACC0018,Account 0018,Retail Wrap,2
19,ACC0019,Account 0019,Segregated Mandate,3
20,ACC0020,Account 0020,Prop,3
21,ACC0021,Account 0021,Fund,1
22,ACC0022,Account 0022,Retail Wrap,1
23,ACC0023,Account 0023,Fund,3
24,ACC0024,Account 0024,Fund,2
25,ACC0025,Account 0025,Pension,2
26,ACC0026,Account 0026,Insurance,3
27,ACC0027,Account 0027,Fund,2
28,ACC0028,Account 0028,Pension,2
29,ACC0029,Account 0029,Fund,3
30,ACC0030,Account 0030,Retail Wrap,2
31,ACC0031,Account 0031,Pension,1
32,ACC0032,Account 0032,Pension,1
33,ACC0033,Account 0033,Retail Wrap,1
34,ACC0034,Account 0034,Prop,1
35,ACC0035,Account 0035,Segregated Mandate,3
36,ACC0036,Account 0036,Prop,2
37,ACC0037,Account 0037,Insurance,1
38,ACC0038,Account 0038,Prop,2
39,ACC0039,Account 0039,Segregated Mandate,1
40,ACC0040,Account 0040,Prop,1
