issuer_key,issuer_name,country_key,industry_key
1,Harbor Bioscience plc,8,31
2,East Systems,7,37
3,Future Systems,10,34
4,Dynamic Finance,7,18
5,Falcon Media plc,7,29
6,Apex Software,10,26
7,West Logistics plc,3,10
8,Falcon Industries plc,4,20
9,Sterling Materials,2,28
10,Iron Retail,7,8
11,Crescent Bioscience plc,4,25
12,Prime Brands,3,11
13,Orion Systems,4,13
14,Iron Media,10,21
15,Nova Air,10,32
16,Prime Telecom,9,39
17,Silver Industries,7,12
18,Dynamic Foods,3,33
19,Harbor Electric plc,7,28
20,Harbor Infrastructure plc,5,7
21,Crystal Resources,1,4
22,Blue Bioscience,9,3
23,Quantum Holdings plc,1,5
24,Nova Health,6,37
25,Iron Media plc,3,4
26,Blue Mining,2,11
27,Summit Finance plc,3,36
28,Falcon Systems,5,15
29,Falcon Bioscience,3,31
30,Global Energy,9,33
31,East Resources plc,2,33
32,Liberty Mining,5,8
33,Summit Mining plc,8,12
34,Alpha Services,3,10
35,Alpha Pharma,5,6
36,Nimbus Health,4,11
37,Falcon Trust,2,37
38,Global Brands,7,15
39,Vector Resources,3,7
40,Harbor Services,10,32
41,Vertex Trust plc,9,16
42,Emerald Networks,6,14
43,Alpha Devices,5,11
44,Prime Materials,5,4
45,Dynamic Materials,2,14
46,North Telecom plc,4,7
47,Pioneer Capital,2,19
48,Cobalt Bioscience,2,1
49,Global Finance,7,29
50,Pioneer Logistics,10,22
51,Nimbus Retail plc,8,34
52,Cobalt Motors,10,22
53,East Trust,6,30
54,Nova Pharma,6,36
55,Harbor Brands plc,6,32
56,Nova Networks,7,23
57,Pioneer Resources plc,2,16
58,Sterling Retail plc,9,27
59,Vector Logistics,5,13
60,Alpha Networks,5,18
61,Nimbus Industries plc,8,20
62,West Networks,2,12
63,Nimbus Finance,2,24
64,Atlas Industries plc,9,12
65,Crescent Industries plc,3,23
66,Blue Air,6,36
67,Silver Finance,7,36
68,Crystal Mining,2,17
69,Pioneer Systems,3,26
70,Crescent Materials plc,4,37
71,Dynamic Services,7,15
72,Cobalt Holdings plc,10,2
73,Summit Networks plc,10,19
74,Dynamic Telecom plc,2,8
75,Emerald Trust plc,8,20
76,Vector Foods,8,24
77,Iron Software,3,25
78,Nova Systems plc,8,17
79,West Mining plc,8,9
80,Global Systems,3,11
81,Alpha Media,1,13
82,Future Telecom plc,4,26
83,Golden Retail,10,32
84,Falcon Industries,7,29
85,Nova Software,2,3
86,Iron Resources,10,21
87,Pioneer Devices plc,10,1
88,Dynamic Mining plc,4,23
89,Golden Group plc,3,6
90,Vector Air plc,8,16
91,Crystal Energy plc,8,13
92,Nova Holdings,6,35
93,Blue Industries plc,6,1
94,Alpha Electric,6,13
95,Falcon Devices,5,27
96,Cobalt Mining,7,39
97,Crescent Electric plc,4,20
98,Prime Partners,1,35
99,Liberty Group plc,3,16
100,Crystal Networks,6,8
101,Crescent Energy,6,38
102,North Bioscience,10,23
103,Sterling Partners plc,4,19
104,Nimbus Retail,3,22
105,Golden Electric,9,22
106,East Capital,1,8
107,Summit Electric,6,24
108,Sterling Infrastructure plc,10,5
109,Golden Foods plc,5,28
110,Crystal Trust,9,5
111,Blue Networks,7,1
112,Global Capital,1,19
113,Golden Retail plc,6,24
114,Crystal Partners,5,18
115,Dynamic Energy plc,5,19
116,Vector Technologies,2,35
117,Nimbus Devices,5,34
118,Orion Trust,9,18
119,Vertex Brands plc,5,28
120,Cobalt Industries,8,39
