stock_key,ticker,issuer_key,industry_key,sector_key,exchange_key,currency_key,share_class,lot_size,market_cap_bucket,reference_price
1,PIONH,226,29,8,1,1,ORD,10,Mid Cap,24.08
2,STERX,108,5,2,11,8,ORD,1,Large Cap,75.55
3,CRYSF,110,5,2,10,7,ORD,10,Mid Cap,66.82
4,BLUES,192,19,5,7,5,ORD,10,Small Cap,22.07
5,APEXM,279,32,9,7,5,ORD,100,Large Cap,110.01
6,FALCC,162,32,9,5,3,ORD,100,Mid Cap,62.42
7,EASTQ,147,2,1,3,2,ORD,1,Large Cap,187.08
8,EASTO,147,2,1,3,2,ORD,1,Mid Cap,26.66
9,WESTN,258,28,8,7,5,A,10,Small Cap,9.78
10,SUMMF,166,15,4,10,7,ORD,10,Small Cap,24.9
11,PRIMF,16,39,11,10,7,ORD,1,Mid Cap,33.59
12,COBAV,159,5,2,7,5,ORD,1,Large Cap,174.3
13,NIMBN,293,15,4,2,1,A,10,Small Cap,29.26
14,SILVT,122,34,10,4,3,B,10,Large Cap,105.21
15,ORIOA,158,21,6,8,6,ORD,10,Mid Cap,46.98
16,DYNAP,309,5,2,6,4,A,100,Large Cap,90.66
17,STERV,179,6,2,2,1,ORD,10,Mid Cap,55.41
18,APEXJ,139,23,6,6,4,ORD,1,Mid Cap,25.08
19,VERTS,260,25,7,6,4,ORD,1,Large Cap,159.38
20,CRYSV,177,13,4,1,1,ORD,10,Mid Cap,106.77
21,WESTG,143,27,7,5,3,ORD,1,Small Cap,19.78
22,BLUEC,192,19,5,7,5,ORD,1,Large Cap,118.86
23,WESTP,245,18,5,11,8,ORD,1,Large Cap,109.12
24,NIMBR,36,11,3,5,3,ADR,1,Large Cap,317.49
25,GOLDH,200,33,9,8,6,B,1,Mid Cap,66.11
26,BLUEX,111,1,1,8,6,ADR,100,Small Cap,10.25
27,COBAE,159,5,2,7,5,ORD,1,Large Cap,182.43
28,EMERR,188,34,10,10,7,ORD,10,Large Cap,94.46
29,IRONC,319,27,7,11,8,ORD,1,Small Cap,14.51
30,SILVZ,17,12,3,8,6,ORD,10,Large Cap,131.74
31,STERD,298,8,2,5,3,ORD,100,Large Cap,121.05
32,ATLAO,201,8,2,2,1,ORD,1,Small Cap,9.42
33,EASTN,255,16,4,4,3,B,10,Large Cap,279.84
34,QUANE,195,28,8,10,7,ORD,10,Mid Cap,83.68
35,WESTZ,7,10,3,4,3,B,1,Small Cap,28.0
36,SUMMK,219,32,9,10,7,ADR,1,Mid Cap,49.36
37,CRYSH,100,8,2,7,5,ORD,1,Large Cap,118.12
38,STERB,298,8,2,5,3,ADR,1,Mid Cap,68.56
39,EMERT,75,20,6,9,3,ORD,10,Large Cap,141.09
40,DYNAR,88,23,6,5,3,ORD,10,Mid Cap,55.57
41,EMERU,286,21,6,8,6,B,10,Small Cap,22.68
42,LIBEV,223,2,1,6,4,A,10,Mid Cap,41.7
43,WESTD,135,7,2,10,7,ORD,10,Large Cap,128.75
44,APEXA,295,30,8,5,3,A,1,Mid Cap,72.65
45,GOLDB,89,6,2,4,3,ORD,1,Small Cap,56.81
46,VERTN,133,35,10,6,4,ORD,1,Small Cap,17.99
47,FALCQ,28,15,4,6,4,ORD,10,Large Cap,100.6
48,EASTV,167,34,10,7,5,ADR,1,Large Cap,144.0
49,VECTB,289,39,11,10,7,ORD,1,Large Cap,282.74
50,VECTC,250,25,7,9,3,ORD,1,Large Cap,116.06
51,CRYSW,150,23,6,3,2,A,10,Large Cap,151.55
52,ORIOU,257,29,8,8,6,ORD,1,Large Cap,147.07
53,WESTU,127,11,3,4,3,B,10,Large Cap,40.49
54,FUTUW,222,4,1,9,3,ORD,100,Mid Cap,45.16
55,WESTR,247,16,4,4,3,A,1,Mid Cap,59.45
56,FALCM,5,29,8,8,6,ORD,10,Mid Cap,38.13
57,CRESR,97,20,6,5,3,ORD,10,Large Cap,222.15
