trade_id,trade_timestamp,trade_date,settlement_date,stock_key,issuer_key,industry_key,sector_key,exchange_key,currency_key,account_key,trader_key,broker_key,buy_sell_flag,execution_venue,order_type,quantity,price_local,gross_amount_local,commission_local,net_amount_local,fx_to_usd,gross_amount_usd,commission_usd,net_amount_usd
T202508290368000001,2025-08-29 14:28:07,2025-08-29,2025-09-02,368,217,10,3,8,6,17,34,3,B,Algo,Market,8000,30.2997,242397.6,55.66,-242453.26,1.101366,266968.48,61.3,-267029.78
T202512230274000002,2025-12-23 05:17:46,2025-12-23,2025-12-27,274,160,23,6,5,3,24,1,8,B,DMA,VWAP,300,86.4022,25920.66,13.82,-25934.48,1.10012,28515.84,15.2,-28531.04
T202410150397000003,2024-10-15 06:12:39,2024-10-15,2024-10-18,397,220,17,5,11,8,23,18,12,S,Algo,Market,500,9.3318,4665.9,0.23,4665.67,0.654164,3052.26,0.15,3052.11
T202402250193000004,2024-02-25 11:07:01,2024-02-25,2024-02-27,193,129,9,3,4,3,7,33,4,B,Algo,Market,800,83.7772,67021.76,19.36,-67041.12,1.078795,72302.74,20.89,-72323.63
T202502130130000005,2025-02-13 09:41:56,2025-02-13,2025-02-16,130,42,14,4,7,5,31,31,2,B,DMA,Limit,1000,109.2543,109254.3,58.03,-109312.33,0.713565,77960.04,41.41,-78001.45
T202501280319000006,2025-01-28 18:36:39,2025-01-28,2025-02-01,319,184,38,11,6,4,23,25,6,B,Algo,Arrival,8000,49.8672,398937.6,149.0,-399086.6,0.006621,2641.37,0.99,-2642.35
T202510080159000007,2025-10-08 20:28:52,2025-10-08,2025-10-10,159,3,34,10,11,8,28,54,12,B,DMA,Limit,500,85.9658,42982.9,8.78,-42991.68,0.672126,28889.92,5.9,-28895.83
T202401200255000008,2024-01-20 09:15:21,2024-01-20,2024-01-24,255,246,1,1,11,8,5,49,3,S,Algo,VWAP,50000,23.8606,1193030.0,238.56,1192791.44,0.666554,795218.92,159.01,795059.91
T202506060199000009,2025-06-06 16:29:43,2025-06-06,2025-06-09,199,200,33,9,8,6,9,15,4,S,DMA,VWAP,1500,62.6233,93934.95,12.59,93922.36,1.158665,108839.14,14.59,108824.55
T202509180255000010,2025-09-18 02:36:24,2025-09-18,2025-09-22,255,246,1,1,11,8,21,34,9,S,DMA,Limit,50000,25.7348,1286740.0,373.04,1286366.96,0.664786,855406.74,247.99,855158.75
T202510190386000011,2025-10-19 21:22:30,2025-10-19,2025-10-22,386,286,21,6,8,6,37,50,9,B,Algo,VWAP,500,37.8525,18926.25,4.05,-18930.3,1.141085,21596.46,4.62,-21601.08
T202402020193000012,2024-02-02 09:20:01,2024-02-02,2024-02-05,193,129,9,3,4,3,29,17,3,S,Algo,Arrival,200,77.8174,15563.48,6.79,15556.69,1.087296,16922.11,7.38,16914.73
T202508280362000013,2025-08-28 18:52:00,2025-08-28,2025-08-30,362,178,12,3,9,3,25,33,9,S,Algo,Limit,8000,73.3723,586978.4,110.81,586867.59,1.124645,660142.32,124.62,660017.7
T202510230318000014,2025-10-23 07:04:13,2025-10-23,2025-10-25,318,48,1,1,3,2,7,59,4,B,Cross,Limit,800,71.7277,57382.16,6.41,-57388.57,1.286741,73835.98,8.25,-73844.23
T202404260369000015,2024-04-26 07:45:32,2024-04-26,2024-04-29,369,227,39,11,4,3,11,50,1,B,Algo,Market,1000,94.3801,94380.1,13.97,-94394.07,1.09544,103387.74,15.3,-103403.04
T202408190331000016,2024-08-19 10:58:55,2024-08-19,2024-08-22,331,280,18,5,11,8,9,58,11,S,DMA,Limit,2000,48.0045,96009.0,21.73,95987.27,0.65625,63005.91,14.26,62991.65
T202402210366000017,2024-02-21 04:03:24,2024-02-21,2024-02-24,366,80,11,3,4,3,4,47,8,B,DMA,Limit,2000,85.0437,170087.4,75.28,-170162.68,1.078158,183381.09,81.16,-183462.25
T202403070346000018,2024-03-07 12:22:17,2024-03-07,2024-03-10,346,152,24,7,10,7,29,48,5,B,DMA,Market,100,17.0777,1707.77,0.48,-1708.25,0.095274,162.71,0.05,-162.75
T202411130286000019,2024-11-13 21:16:56,2024-11-13,2024-11-16,286,198,28,8,11,8,15,5,10,B,Algo,Limit,300,48.236,14470.8,2.88,-14473.68,0.684208,9901.04,1.97,-9903.01
T202502230208000020,2025-02-23 14:39:09,2025-02-23,2025-02-27,208,166,15,4,10,7,14,46,7,B,Voice,TWAP,100,47.7038,4770.38,1.44,-4771.82,0.091057,434.38,0.13,-434.51
T202503130339000021,2025-03-13 04:12:50,2025-03-13,2025-03-17,339,141,3,1,11,8,12,35,10,B,Algo,Arrival,80000,71.1264,5690112.0,918.69,-5691030.69,0.664875,3783213.22,610.81,-3783824.03
T202504090366000022,2025-04-09 11:45:43,2025-04-09,2025-04-11,366,80,11,3,4,3,33,33,6,S,DMA,Limit,5000,62.9953,314976.5,55.0,314921.5,1.057015,332934.89,58.14,332876.75
T202401170056000023,2024-01-17 20:41:11,2024-01-17,2024-01-20,56,5,29,8,8,6,2,15,2,B,Algo,Limit,8000,35.5898,284718.4,72.14,-284790.54,1.141444,324990.11,82.34,-325072.45
T202502150121000024,2025-02-15 14:27:15,2025-02-15,2025-02-18,121,207,39,11,5,3,34,12,5,S,DMA,TWAP,10000,81.1632,811632.0,293.64,811338.36,1.112305,902782.33,326.62,902455.71
T202501270312000025,2025-01-27 06:49:33,2025-01-27,2025-01-29,312,198,28,8,11,8,14,7,5,B,Algo,Limit,1500,164.4364,246654.6,100.19,-246754.79,0.671462,165619.19,67.27,-165686.46
T202406200320000026,2024-06-20 15:52:15,2024-06-20,2024-06-24,320,261,31,9,7,5,20,34,9,S,Voice,TWAP,50000,21.0325,1051625.0,156.08,1051468.92,0.712912,749716.08,111.27,749604.81
T202501310212000027,2025-01-31 20:23:46,2025-01-31,2025-02-03,212,259,21,6,8,6,22,17,1,B,Algo,Arrival,1000,13.8141,13814.1,4.98,-13819.08,1.107065,15293.11,5.51,-15298.62
T202501200018000028,2025-01-20 05:54:08,2025-01-20,2025-01-23,18,139,23,6,6,4,30,54,7,B,Cross,Limit,200,24.1924,4838.48,1.11,-4839.59,0.006793,32.87,0.01,-32.88
T202510030266000029,2025-10-03 00:10:22,2025-10-03,2025-10-06,266,275,10,3,9,3,31,27,5,B,DMA,Market,2000,68.4371,136874.2,42.88,-136917.08,1.091307,149371.77,46.8,-149418.57
T202509090053000030,2025-09-09 07:18:01,2025-09-09,2025-09-11,53,127,11,3,4,3,7,25,1,B,DMA,Limit,8000,41.4224,331379.2,109.41,-331488.61,1.068775,354169.8,116.93,-354286.74
T202503240359000031,2025-03-24 18:44:16,2025-03-24,2025-03-27,359,290,17,5,5,3,17,28,9,S,DMA,Market,15000,128.8944,1933416.0,464.41,1932951.59,1.109955,2146004.76,515.47,2145489.28
T202509300283000032,2025-09-30 03:25:21,2025-09-30,2025-10-02,283,93,1,1,7,5,38,14,6,B,DMA,Market,100,118.3307,11833.07,0.59,-11833.66,0.756184,8947.98,0.45,-8948.42
T202410130255000033,2024-10-13 09:03:02,2024-10-13,2024-10-17,255,246,1,1,11,8,22,53,4,B,DMA,Arrival,10000,27.2454,272454.0,65.04,-272519.04,0.664076,180930.16,43.19,-180973.35
T202401180139000034,2024-01-18 13:18:45,2024-01-18,2024-01-22,139,274,1,1,3,2,5,45,6,S,DMA,VWAP,200,129.5652,25913.04,11.3,25901.74,1.259711,32642.94,14.23,32628.71
T202507290136000035,2025-07-29 14:43:15,2025-07-29,2025-08-01,136,161,39,11,7,5,5,2,4,S,DMA,Limit,20000,123.8097,2476194.0,887.92,2475306.08,0.742868,1839485.28,659.61,1838825.68
T202503100262000036,2025-03-10 20:47:57,2025-03-10,2025-03-13,262,271,1,1,7,5,32,47,5,B,Voice,Limit,200,7.6029,1520.58,0.6,-1521.18,0.740695,1126.29,0.44,-1126.73
